Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2024-01-20 17:00:00,Handball,1,Finished,Hypo NO W,Atzgersdorf W,,,150721
2024-01-20 17:00:00,Handball,1,Finished,roomz JAGS WV W,Feldkirch W,,,150722
2024-01-20 18:00:00,Handball,1,Finished,Graz W,Korneuburg W,,,150720
2024-01-20 18:00:00,Handball,1,Finished,Stockerau W,Tulln W,,,150723
2024-01-20 18:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,Fuchse W,,,150725
2024-01-21 19:00:00,Handball,1,Finished,St. Polten W,MGA Handball W,,,150724
2024-01-27 18:00:00,Handball,1,Finished,MGA Handball W,Graz W,,,150726
2024-01-27 18:00:00,Handball,1,Finished,roomz JAGS WV W,St. Polten W,,,150727
2024-01-27 18:00:00,Handball,1,Finished,Tulln W,Ferlach/Feldkirchen W,,,150728
2024-01-27 18:00:00,Handball,1,Finished,Korneuburg W,Hypo NO W,,,150729
2024-01-27 18:00:00,Handball,1,Finished,Fuchse W,Feldkirch W,,,150730
2024-01-28 14:00:00,Handball,1,Finished,Atzgersdorf W,Stockerau W,,,150731
2024-02-02 18:00:00,Handball,1,Finished,Stockerau W,Korneuburg W,,,150734
2024-02-03 17:00:00,Handball,1,Finished,Feldkirch W,Tulln W,,,150737
2024-02-03 18:00:00,Handball,1,Finished,Fuchse W,roomz JAGS WV W,,,150735
2024-02-04 17:00:00,Handball,1,Finished,Graz W,St. Polten W,,,150732
2024-02-04 17:00:00,Handball,1,Finished,MGA Handball W,Hypo NO W,,,150733
2024-02-04 17:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,Atzgersdorf W,,,150736
2024-02-10 14:00:00,Handball,1,Finished,Atzgersdorf W,Feldkirch W,,,150738
2024-02-10 17:00:00,Handball,1,Finished,roomz JAGS WV W,Graz W,,,150741
2024-02-10 18:00:00,Handball,1,Finished,Tulln W,Fuchse W,,,150743
2024-02-11 16:00:00,Handball,1,Finished,Korneuburg W,Ferlach/Feldkirchen W,,,150739
2024-02-11 17:00:00,Handball,1,Finished,MGA Handball W,Stockerau W,,,150740
2024-02-11 17:00:00,Handball,1,Finished,St. Polten W,Hypo NO W,,,150742
2024-02-21 18:30:00,Handball,1,Finished,Fuchse W,Hypo NO W,,,150702
2024-02-24 18:00:00,Handball,1,Finished,Graz W,Hypo NO W,,,150744
2024-02-24 18:00:00,Handball,1,Finished,Tulln W,roomz JAGS WV W,,,150745
2024-02-24 18:00:00,Handball,1,Finished,Stockerau W,St. Polten W,,,150746
2024-02-24 18:00:00,Handball,1,Finished,Fuchse W,Atzgersdorf W,,,150747
2024-02-24 18:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,MGA Handball W,,,150748
2024-02-24 18:00:00,Handball,1,Finished,Feldkirch W,Korneuburg W,,,150749
2024-03-09 15:00:00,Handball,1,Finished,Atzgersdorf W,Tulln W,,,150750
2024-03-09 17:00:00,Handball,1,Finished,St. Polten W,Ferlach/Feldkirchen W,,,150755
2024-03-09 18:00:00,Handball,1,Finished,Graz W,Stockerau W,,,150751
2024-03-09 18:00:00,Handball,1,Finished,MGA Handball W,Feldkirch W,,,150753
2024-03-09 18:00:00,Handball,1,Finished,roomz JAGS WV W,Hypo NO W,,,150754
2024-03-10 17:00:00,Handball,1,Finished,Korneuburg W,Fuchse W,,,150752
2024-03-16 17:00:00,Handball,1,Finished,Feldkirch W,St. Polten W,,,150756
2024-03-16 18:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,Graz W,,,150757
2024-03-16 18:00:00,Handball,1,Finished,Fuchse W,MGA Handball W,,,150758
2024-03-16 18:00:00,Handball,1,Finished,roomz JAGS WV W,Atzgersdorf W,,,150759
2024-03-16 18:00:00,Handball,1,Finished,Stockerau W,Hypo NO W,,,150760
2024-03-17 17:00:00,Handball,1,Finished,Tulln W,Korneuburg W,,,150761
2024-03-23 16:00:00,Handball,1,Finished,MGA Handball W,Tulln W,,,150765
2024-03-23 17:00:00,Handball,1,Finished,St. Polten W,Fuchse W,,,150763
2024-03-23 18:00:00,Handball,1,Finished,Stockerau W,roomz JAGS WV W,,,150762
2024-03-23 18:00:00,Handball,1,Finished,Korneuburg W,Atzgersdorf W,,,150766
2024-03-23 18:00:00,Handball,1,Finished,Graz W,Feldkirch W,,,150767
2024-03-23 19:20:00,Handball,1,Finished,Hypo NO W,Ferlach/Feldkirchen W,,,150764
2024-04-13 16:00:00,Handball,1,Finished,Feldkirch W,Atzgersdorf W,,,150672
2024-04-27 17:00:00,Handball,1,Finished,Atzgersdorf W,MGA Handball W,,,150768
2024-04-27 17:00:00,Handball,1,Finished,Feldkirch W,Hypo NO W,,,150769
2024-04-27 17:00:00,Handball,1,Finished,Ferlach/Feldkirchen W,Stockerau W,,,150770
2024-04-27 17:00:00,Handball,1,Finished,Korneuburg W,roomz JAGS WV W,,,150772
