Game_Date,Sport,League_ID,Game_Status,Home_Team,Away_Team,Home_Score_Final,Away_Score_Final,Game_ID
2023-02-28 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Chicago Cubs,,,135772
2023-02-28 20:10:00,Baseball,1,Finished,Seattle Mariners,Cleveland Guardians,,,135778
2023-02-28 23:40:00,Baseball,1,Finished,Miami Marlins,Boston Red Sox,,,135779
2023-03-01 18:05:00,Baseball,1,Finished,Detroit Tigers,Pittsburgh Pirates,,,135786
2023-03-01 18:05:00,Baseball,1,Finished,New York Yankees,Washington Nationals,,,135791
2023-03-01 18:05:00,Baseball,1,Finished,Minnesota Twins,Philadelphia Phillies,,,135794
2023-03-01 18:05:00,Baseball,1,Finished,Houston Astros,Boston Red Sox,,,135795
2023-03-01 18:05:00,Baseball,1,Finished,Baltimore Orioles,Toronto Blue Jays,,,135798
2023-03-01 18:05:00,Baseball,1,Finished,Atlanta Braves,Tampa Bay Rays,,,135799
2023-03-01 18:10:00,Baseball,1,Finished,Miami Marlins,New York Mets,,,135793
2023-03-01 19:10:00,Baseball,1,Finished,Los Angeles Angels,Milwaukee Brewers,,,135792
2023-03-01 20:05:00,Baseball,1,Finished,Chicago Cubs,Seattle Mariners,,,135787
2023-03-01 20:05:00,Baseball,1,Finished,Texas Rangers,Los Angeles Dodgers,,,135789
2023-03-01 20:05:00,Baseball,1,Finished,San Francisco Giants,Arizona Diamondbacks,,,135790
2023-03-01 20:05:00,Baseball,1,Finished,Cincinnati Reds,Oakland Athletics,,,135796
2023-03-01 20:05:00,Baseball,1,Finished,Chicago White Sox,Cleveland Guardians,,,135797
2023-03-01 20:10:00,Baseball,1,Finished,San Diego Padres,Texas Rangers,,,135788
2023-03-01 20:10:00,Baseball,1,Finished,Colorado Rockies,Kansas City Royals,,,135800
2023-03-02 17:05:00,Baseball,1,Finished,Boston Red Sox,Philadelphia Phillies,,,135814
2023-03-02 18:05:00,Baseball,1,Finished,Detroit Tigers,Baltimore Orioles,,,135801
2023-03-02 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,New York Yankees,,,135804
2023-03-02 18:05:00,Baseball,1,Finished,Tampa Bay Rays,Minnesota Twins,,,135806
2023-03-02 18:05:00,Baseball,1,Finished,St.Louis Cardinals,Houston Astros,,,135807
2023-03-02 18:05:00,Baseball,1,Finished,Washington Nationals,Miami Marlins,,,135809
2023-03-02 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Pittsburgh Pirates,,,135805
2023-03-02 18:10:00,Baseball,1,Finished,New York Mets,Atlanta Braves,,,135810
2023-03-02 20:05:00,Baseball,1,Finished,Chicago Cubs,Oakland Athletics,,,135802
2023-03-02 20:05:00,Baseball,1,Finished,Kansas City Royals,Los Angeles Angels,,,135811
2023-03-02 20:05:00,Baseball,1,Finished,Cleveland Guardians,San Francisco Giants,,,135813
2023-03-02 20:05:00,Baseball,1,Finished,Los Angeles Dodgers,Arizona Diamondbacks,,,135815
2023-03-02 20:10:00,Baseball,1,Finished,Milwaukee Brewers,Texas Rangers,,,135803
2023-03-02 20:10:00,Baseball,1,Finished,Seattle Mariners,San Diego Padres,,,135808
2023-03-02 20:10:00,Baseball,1,Finished,Colorado Rockies,Chicago White Sox,,,135812
2023-03-03 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Detroit Tigers,,,135816
2023-03-03 18:05:00,Baseball,1,Finished,St.Louis Cardinals,Miami Marlins,,,135821
2023-03-03 18:05:00,Baseball,1,Finished,Minnesota Twins,Boston Red Sox,,,135826
2023-03-03 18:05:00,Baseball,1,Finished,Houston Astros,Atlanta Braves,,,135827
2023-03-03 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Tampa Bay Rays,,,135819
2023-03-03 18:10:00,Baseball,1,Finished,New York Mets,Washington Nationals,,,135825
2023-03-03 20:05:00,Baseball,1,Finished,Texas Rangers,San Francisco Giants,,,135820
2023-03-03 20:05:00,Baseball,1,Finished,San Francisco Giants,Colorado Rockies,,,135822
2023-03-03 20:05:00,Baseball,1,Finished,Oakland Athletics,Kansas City Royals,,,135823
2023-03-03 20:05:00,Baseball,1,Finished,Cleveland Guardians,Milwaukee Brewers,,,135828
2023-03-03 20:05:00,Baseball,1,Finished,Chicago White Sox,Cincinnati Reds,,,135829
2023-03-03 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,Seattle Mariners,,,135817
2023-03-03 20:10:00,Baseball,1,Finished,Los Angeles Angels,Los Angeles Dodgers,,,135824
2023-03-03 23:05:00,Baseball,1,Finished,Baltimore Orioles,Pittsburgh Pirates,,,135830
2023-03-03 23:35:00,Baseball,1,Finished,New York Yankees,Detroit Tigers,,,135818
2023-03-04 01:40:00,Baseball,1,Finished,San Diego Padres,Chicago Cubs,,,135831
2023-03-04 18:05:00,Baseball,1,Finished,Detroit Tigers,Toronto Blue Jays,,,135832
2023-03-04 18:05:00,Baseball,1,Finished,Philadelphia Phillies,Pittsburgh Pirates,,,135833
2023-03-04 18:05:00,Baseball,1,Finished,Washington Nationals,St.Louis Cardinals,,,135838
2023-03-04 18:05:00,Baseball,1,Finished,New York Yankees,Tampa Bay Rays,,,135841
2023-03-04 18:05:00,Baseball,1,Finished,Boston Red Sox,Houston Astros,,,135846
2023-03-04 18:05:00,Baseball,1,Finished,Baltimore Orioles,Atlanta Braves,,,135847
2023-03-04 18:05:00,Baseball,1,Finished,Atlanta Braves,Minnesota Twins,,,135848
2023-03-04 18:10:00,Baseball,1,Finished,Miami Marlins,New York Mets,,,135837
2023-03-04 20:05:00,Baseball,1,Finished,Chicago Cubs,Los Angeles Angels,,,135834
2023-03-04 20:05:00,Baseball,1,Finished,Oakland Athletics,Cleveland Guardians,,,135840
2023-03-04 20:05:00,Baseball,1,Finished,San Francisco Giants,Arizona Diamondbacks,,,135842
2023-03-04 20:05:00,Baseball,1,Finished,Cincinnati Reds,Kansas City Royals,,,135844
2023-03-04 20:05:00,Baseball,1,Finished,Chicago White Sox,Texas Rangers,,,135845
2023-03-04 20:10:00,Baseball,1,Finished,Arizona Diamondbacks,San Diego Padres,,,135835
2023-03-04 20:10:00,Baseball,1,Finished,Milwaukee Brewers,San Francisco Giants,,,135836
2023-03-04 20:10:00,Baseball,1,Finished,Seattle Mariners,Colorado Rockies,,,135839
2023-03-04 21:05:00,Baseball,1,Finished,Oakland Athletics,Cincinnati Reds,,,143948
2023-03-05 01:05:00,Baseball,1,Finished,Kansas City Royals,Los Angeles Dodgers,,,135843
2023-03-05 18:05:00,Baseball,1,Finished,Pittsburgh Pirates,Minnesota Twins,,,135851
2023-03-05 18:05:00,Baseball,1,Finished,Tampa Bay Rays,Baltimore Orioles,,,135854
2023-03-05 18:05:00,Baseball,1,Finished,St.Louis Cardinals,New York Mets,,,135855
2023-03-05 18:05:00,Baseball,1,Finished,Minnesota Twins,Detroit Tigers,,,135858
2023-03-05 18:05:00,Baseball,1,Finished,Houston Astros,Washington Nationals,,,135859
2023-03-05 18:05:00,Baseball,1,Finished,Boston Red Sox,Miami Marlins,,,135862
2023-03-05 18:05:00,Baseball,1,Finished,Atlanta Braves,New York Yankees,,,135863
2023-03-05 18:07:00,Baseball,1,Finished,Toronto Blue Jays,Philadelphia Phillies,,,135852
